date,active_address,volume,daily_tx_count
2025-01-09,490186,70179214480.1523,435530
2025-01-10,561832,86362279462.30069,346783
2025-01-11,425542,40549679627.99725,299878
2025-01-12,469259,44060858935.92954,267151
2025-01-13,470976,59648985581.28462,300504
2025-01-14,521489,74371785801.49663,296836
2025-01-15,512224,83617123311.59853,321807
2025-01-16,512819,89844260982.48091,340177
2025-01-17,552587,95508391377.43954,371351
2025-01-18,455344,79665131333.39336,341966
2025-01-19,498162,75433231332.67107,357828
2025-01-20,503414,100563428151.20735,343970
2025-01-21,580914,90947967148.44637,321260
2025-01-22,535712,83365297943.56618,406012
2025-01-23,553958,88171650713.25096,278731
2025-01-24,495006,74040957731.49852,338017
2025-01-25,455391,45668931928.55082,291089
2025-01-26,408172,42329681824.86349,257597
2025-01-27,567655,69172357142.93825,307109
2025-01-28,464598,54834329475.01501,268626
2025-01-29,507161,69187485748.16942,308011
2025-01-30,504542,67330092446.87689,310165
2025-01-31,455240,72315662674.50494,300410
2025-02-01,499709,42333778069.91329,293250
2025-02-02,527422,53233229905.92447,288223
2025-02-03,572684,84944604685.32388,313593
2025-02-04,529930,72851788765.73213,272230
2025-02-05,500656,68767043776.53374,319146
2025-02-06,506458,60632134645.97555,360629
2025-02-07,501465,52671566177.336235,381924
2025-02-08,409380,36742777048.5318,354148
2025-02-09,405076,37166371905.75215,293935
2025-02-10,529617,56162399044.70185,293575
2025-02-11,555388,58016095463.31155,304868
2025-02-12,472809,54999683870.29385,331346
2025-02-13,465940,57866748325.73223,329308
2025-02-14,515037,60878638213.177986,295432
2025-02-15,403761,50590244786.827126,250508
2025-02-16,385120,45915394511.45266,253887
2025-02-17,498607,52456025143.22067,281984
2025-02-18,527588,57519312766.66357,302193
2025-02-19,425856,62064186799.57268,319881
2025-02-20,439224,69505687687.52846,350616
2025-02-21,456017,75914081180.82004,321651
2025-02-22,394981,68593150104.91657,338147
2025-02-23,272887,49457253119.073074,523189
2025-02-24,450613,75896210362.40332,518058
2025-02-25,528462,120077556152.59021,426780
2025-02-26,570806,113921964497.5863,362435
2025-02-27,644632,83432638314.27083,295315
2025-02-28,613900,78744696689.17624,321772
2025-03-01,565421,49970541476.03702,264963
2025-03-02,445757,60989273530.70235,239275
2025-03-03,574196,83448855243.43658,332201
2025-03-04,486679,60714555373.92049,293167
2025-03-05,490758,56532817955.815254,299084
2025-03-06,559320,67513579961.49836,333789
2025-03-07,615785,70028505907.6192,293281
2025-03-08,452699,40386622106.80641,275002
2025-03-09,468259,43661328938.41982,278399
2025-03-10,551387,64343897923.22886,392304
2025-03-11,511357,68057779781.16147,358817
2025-03-12,486246,60225365114.259094,389965
2025-03-13,514820,51245383596.59083,495851
2025-03-14,525230,46449236195.09694,398995
2025-03-15,451848,34147202069.58996,417452
2025-03-16,460331,35808803718.09398,404890
2025-03-17,539524,47327077314.70657,344665
2025-03-18,508284,47386493443.20122,348256
2025-03-19,492350,46879011218.69573,413138
2025-03-20,543856,50712894783.97267,307168
2025-03-21,536795,42378709244.59414,280740
2025-03-22,450296,27739765146.836044,367126
2025-03-23,428171,27193416685.871593,416724
2025-03-24,579160,48145675858.23596,453751
2025-03-25,469133,53029834357.14541,486716
2025-03-26,529071,51098584448.551765,453189
2025-03-27,558111,48699620598.2747,384060
2025-03-28,603460,58642517400.046646,372273
2025-03-29,482248,36811119633.11335,264369
2025-03-30,392946,33159901172.6109,252372
2025-03-31,544555,58576677269.11051,281019
2025-04-01,560304,48178861521.63132,320836
2025-04-02,519665,51453697437.6428,327218
2025-04-03,562408,55459664522.16322,372484
2025-04-04,579631,48791204917.640884,400870
2025-04-05,507179,30121202135.087124,268487
2025-04-06,452474,36021813077.48903,242260
2025-04-07,532339,61645242203.990524,281996
2025-04-08,490154,48149711339.730934,336871
2025-04-09,443560,61980760817.0005,285827
2025-04-10,521815,55230716871.25163,299812
