datetime,open,high,low,close,volume,quote_volume,taker_buy_volume
2024-10-18 01:00:00,67214.41,68260.92,67194.0,68085.5,2138.13847,145033418.2372601,1354.97675
2024-10-18 02:00:00,68085.5,68142.0,67800.0,68103.99,1073.1499,72948959.5415287,506.72829
2024-10-18 03:00:00,68104.0,68108.58,67522.0,67555.4,978.29799,66372973.4444216,332.58892
2024-10-18 04:00:00,67555.41,67867.93,67544.0,67742.72,770.77181,52198312.742547,330.41282
2024-10-18 05:00:00,67742.71,68050.0,67640.0,68000.79,567.44614,38497856.1871751,295.38155
2024-10-18 06:00:00,68000.79,68378.95,67925.98,68108.0,1482.28962,101009896.7973228,717.69407
2024-10-18 07:00:00,68108.0,68194.0,67864.0,67969.7,1615.5303,109861006.129071,498.32025
2024-10-18 08:00:00,67969.69,68050.0,67830.0,67922.45,641.38325,43564862.7472119,338.64517
2024-10-18 09:00:00,67922.44,68045.55,67763.26,67802.0,753.29192,51141216.6847083,311.23082
2024-10-18 10:00:00,67802.0,67970.33,67776.43,67874.92,921.44904,62533220.0009425,315.96334
2024-10-18 11:00:00,67874.92,68028.44,67674.98,67702.0,1288.33547,87425140.1865302,485.48187
2024-10-18 12:00:00,67702.0,67820.66,67642.71,67662.0,574.19737,38880774.1249771,270.19673
2024-10-18 13:00:00,67662.0,68196.0,67656.99,68196.0,1233.37326,83791596.0889638,684.44479
2024-10-18 14:00:00,68195.99,68600.0,67936.18,68426.98,4002.87329,273627531.0510938,2383.24761
2024-10-18 15:00:00,68426.99,68870.68,68293.04,68735.35,3171.49022,217716241.33774233,1899.0986
2024-10-18 16:00:00,68735.34,68897.99,68360.0,68787.88,1754.84058,120526090.7000906,878.59938
2024-10-18 17:00:00,68787.87,68908.05,68656.53,68710.14,1032.29321,71035214.0951391,530.38589
2024-10-18 18:00:00,68710.13,69000.0,68560.0,68892.42,1227.26584,84471215.1437285,631.86651
2024-10-18 19:00:00,68892.41,68974.0,68572.72,68608.01,1079.87377,74241491.1694351,421.00249
2024-10-18 20:00:00,68608.01,68690.0,68400.0,68432.0,674.44986,46229732.0972571,272.0219
2024-10-18 21:00:00,68431.99,68495.45,68230.0,68412.0,381.16213,26070150.2793468,151.61082
2024-10-18 22:00:00,68412.0,68420.0,68204.1,68205.6,430.32404,29395088.7359541,194.02086
2024-10-18 23:00:00,68205.59,68470.0,68205.59,68428.0,307.31425,21009698.5226567,168.65353
2024-10-19 00:00:00,68427.99,68480.0,68303.03,68334.2,310.84184,21255321.0054359,134.84825
2024-10-19 01:00:00,68334.21,68454.55,68330.0,68340.02,321.83758,22009631.5448361,169.26705
2024-10-19 02:00:00,68340.02,68469.91,68334.0,68459.59,276.07774,18884498.7302482,146.49768
2024-10-19 03:00:00,68459.58,68693.26,68435.96,68450.01,467.97911,32082709.6165583,258.53162
2024-10-19 04:00:00,68450.0,68560.0,68334.0,68334.01,312.97065,21416398.4354454,111.12962
2024-10-19 05:00:00,68334.0,68432.62,68326.0,68390.01,234.25062,16019978.3684288,103.41127
2024-10-19 06:00:00,68390.01,68439.0,68335.83,68335.83,234.88358,16060979.8113894,91.70217
2024-10-19 07:00:00,68335.84,68405.11,68302.31,68346.54,331.5683,22660258.6053626,159.37284
2024-10-19 08:00:00,68346.54,68475.7,68346.54,68409.99,382.56805,26166029.066676,231.21765
2024-10-19 09:00:00,68410.0,68436.44,68352.0,68352.0,271.85228,18591734.5068571,114.38994
2024-10-19 10:00:00,68352.0,68380.0,68242.0,68244.0,371.42915,25373445.4097044,167.27301
2024-10-19 11:00:00,68244.01,68297.28,68090.3,68090.3,629.51337,42914354.7451938,199.14024
2024-10-19 12:00:00,68090.3,68268.32,68088.0,68222.0,260.37486,17754690.1641975,140.55875
2024-10-19 13:00:00,68222.0,68222.01,68114.69,68114.7,265.42369,18089120.8221167,117.15709
2024-10-19 14:00:00,68114.71,68350.0,68114.7,68300.01,401.4107,27396182.2407682,230.59595
2024-10-19 15:00:00,68300.0,68338.0,68159.9,68226.93,419.69957,28638292.9569622,168.61821
2024-10-19 16:00:00,68226.94,68227.54,68041.02,68042.0,365.8562,24926456.6750939,129.21399
2024-10-19 17:00:00,68042.0,68142.8,68010.0,68121.99,207.0333,14097899.6075199,103.23877
2024-10-19 18:00:00,68121.99,68190.06,68094.4,68179.99,187.56654,12783552.8946812,127.07094
2024-10-19 19:00:00,68179.99,68242.43,68154.31,68181.98,259.13892,17671007.0302555,113.05598
2024-10-19 20:00:00,68181.98,68277.96,68168.45,68245.18,518.33656,35370544.7773654,371.33779
2024-10-19 21:00:00,68245.18,68345.41,68222.43,68222.43,423.73528,28941884.8035497,263.83757
2024-10-19 22:00:00,68222.43,68410.0,68203.18,68330.0,345.97,23632167.5098476,166.18749
2024-10-19 23:00:00,68330.0,68413.96,68304.0,68378.0,393.34948,26891489.6328167,253.5424
2024-10-20 00:00:00,68377.99,68446.0,68231.23,68231.24,440.41304,30113354.5953189,247.66923
2024-10-20 01:00:00,68231.24,68253.3,68155.0,68158.0,217.11239,14807710.3174265,105.59111
2024-10-20 02:00:00,68158.0,68220.0,68114.43,68177.01,217.83232,14848791.5369506,88.12008
2024-10-20 03:00:00,68177.01,68198.0,68100.0,68188.0,179.36249,12223936.0300201,79.83105
2024-10-20 04:00:00,68188.01,68316.0,68184.96,68235.99,181.24513,12369325.211289,98.28817
